"lat","long","Sample_depth_min_cm","Sample_depth_max_cm","sample_type","Sea_Depth_meters_NOAA","Ocean","OBD_IRN","adamsi","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","digitata","dutertrei","falconensis","hexagona","hirsuta","humilis","inflata","menardii","obliquiloculata","pachyderma","quinqueloba","ruber","rubescens","sacculifera","scitula","siphonifera","tenellus","trilobus","truncatulinoides","tumida","universa","glutinata","iota","nitida","pelagica","uvula","various","ssp_richness","total_idind","total_ind"
-41.967,-0.25,"100","100","deep_core",-624,"Atlantic ocean",19790,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,1,44,273
-27.93333,-106.91667,"13","20","deep_core",-3039,"Pacific Ocean",16651,0,0,0,17,0,0,6,10,0,0,2,0,0,9,0,0,0,3,13,0,12,0,0,8,0,14,0,0,15,0,4,0,0,43,12,113,156
-24.7,73.083,"103","106","deep_core",-4413,"Indian ocean",18487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,68
-19.475,-173.73333,"5","10","deep_core",-4347,"Pacific ocean",16365,0,0,0,14,0,8,4,0,0,0,0,0,0,0,0,0,0,0,18,0,15,8,0,6,0,0,0,7,0,0,5,0,0,12,9,85,97
-18.35,62.06667,"99","102","deep_core",-3407,"Indian ocean",18483,0,0,6,18,0,62,19,1,0,11,2,0,12,2,23,27,3,0,18,6,0,2,0,0,0,0,13,15,8,0,1,0,1,165,20,250,415
-18.35,62.06667,"251","254","deep_core",-3407,"Indian ocean",18483,0,0,6,18,0,62,19,1,0,11,2,0,12,2,23,27,3,0,18,6,0,2,0,0,0,0,13,15,8,0,1,0,1,165,20,250,415
-17.2,88.683,"101","104","deep_core",-2741,"Indian ocean",18562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,73
-15.66667,112.73333,"33","36","deep_core",-4291,"Indian ocean",18480,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1,6,108
-15.66667,112.73333,"20","22","deep_core",-4291,"Indian ocean",18480,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1,6,108
-14.26667,-119.18333,"544","546","deep_core",-3735,"Pacific ocean",18529,0,0,0,16,0,9,10,2,0,0,11,0,0,0,21,0,0,6,17,0,53,2,0,0,0,3,14,7,0,0,3,0,0,646,14,174,820
-14.26667,-119.18333,"503","505","deep_core",-3735,"Pacific ocean",18529,0,0,0,16,0,9,10,2,0,0,11,0,0,0,21,0,0,6,17,0,53,2,0,0,0,3,14,7,0,0,3,0,0,646,14,174,820
-14.26667,-119.18333,"575","578","deep_core",-3735,"Pacific ocean",18529,0,0,0,16,0,9,10,2,0,0,11,0,0,0,21,0,0,6,17,0,53,2,0,0,0,3,14,7,0,0,3,0,0,646,14,174,820
-14.26667,-119.18333,"488","490","deep_core",-3735,"Pacific ocean",18529,0,0,0,16,0,9,10,2,0,0,11,0,0,0,21,0,0,6,17,0,53,2,0,0,0,3,14,7,0,0,3,0,0,646,14,174,820
