Buckley original - Genus,buckley_species,Buckley renamed (according to Aze 2011),aze_species,species_age,Not in Buckley (but in Aze modern),
Globigerinella,adamsi,Globigerinella,adamsi,modern,Hirsutella,bermudezi
Globigerina,bulloides,Globigerina,bulloides,modern,Truncorotalia,cavernula
Globigerina,calida,Globigerinella,calida,modern,Turborotalita,clarkei
Globigerinoides,conglobatus,Globigerinoides,conglobatus,modern,Turborotalita,cristata
Globoquadrina,conglomerata,Globoquadrina,conglomerata,modern,Truncorotalia,excelsa
Globorotalia,crassaformis,Truncorotalia,crassaformis,modern,Menardella,fimbriata
Sphaeroidinella,dehiscens,Sphaeroidinella,dehiscens,modern,Pulleniatina ,finalis
Globigerina,digitata,Beella,digitata,modern,Beella,megastoma
Globoquadrina/Globigerina,eggeri,Neogloboquadrina,dutertrei,modern,,
Globigerina,dutertrei,Neogloboquadrina,dutertrei,modern,Truncorotalia,oceanica
Globigerina,falconensis,Globigerina,falconensis,modern,Truncorotalia,pachytheca
Globoquadrina,hexagona,Globorotaloides,hexagonus,modern,Orbulina ,suturalis
Globorotalia,hirsuta,Hirsutella,hirsuta,modern,Hirsutella,theyeri
Globigerinita,humilis,Turborotalita,humilis,modern,Globorotalia,ungulata
Globorotalia,inflata,Globoconella,inflata,modern,,
Globorotalia,menardii,Menardella,menardii,modern,,
Pulleniatina ,obliquiloculata,Pulleniatina ,obliquiloculata ,modern,,
Globigerina,pachyderma,Neogloboquadrina,pachyderma,modern,Pearson's interest: holotype used is a fossil species different from the modern one,
Globigerina,quinqueloba,Turborotalita,quinqueloba,modern,Globoquadrina,conglomerata
Globigerinoides,ruber,Globigerinoides,ruber,modern,,
Globigerina,rubescens,Globoturborotalita,rubescens,modern,,
Globigerinoides,sacculifera,Globigerinoides,sacculifer,modern,,
Globorotalia,scitula,Hirsutella,scitula,modern,,
Globigerinella,aequilateralis/siphonifera,Globigerinella,siphonifera,modern,,
Globigerinoides,tenellus,Globoturborotalita,tenella,modern,,
Globorotalia,truncatulinoides,Truncorotalia,truncatulinoides,modern,,
Globorotalia,tumida,Globorotalia,tumida,modern,,
Orbulina ,universa,Orbulina ,universa,modern,,
Globigerinoides,trilobus,Globigerinoides,trilobus,modern,ZF 6829 - check image,
,aequilateralis/siphonifera & ruber,,various,modern,,
,"aequilateralis, eggeri, sacculifera",,various,modern,,
,bulloides-calida,,various,modern,,
,bulloides-falconensis,,various,modern,,
,"bulloides, hexagona, inflata",,various,modern,,
,"conglobatus var. , obliquiloculata juveniles",,various,modern,,
,conglobatus??,,various,modern,,
,conglomerata-hexagona,,various,modern,,
,crassaformis-bulloides,,various,modern,,
,crassaformis-ruber-scitula,,various,modern,,
,crassaformis-truncatulinoides-inflata,,various,modern,,
,crassaformis-truncatulinoides-inflata-hirsuta,,various,modern,,
,digitata + ?,,various,modern,,
,digitata + unknows,,various,modern,,
,digitata-bulloides-crassaformis,,various,modern,,
,"digitata, pachyderma, truncatulinoides, eggeri",,various,modern,,
,digitata?,,various,modern,,
,"eggeri, conglomerata",,various,modern,,
,"hexagona, glutinata, scitula",,various,unknown,,
,humilis-cristata,,various,modern,,
,menardii - tumida,,various,modern,,
,menardii - tumida - hirsuta,,various,modern,,
,menardii + other ssp,,various,modern,,
,"menardii, hirsuta",,various,modern,,
,"menardii, conglubatus, aequilateralis, sacculifera, universa",,various,modern,,
,"menardii, ruber, sacculifera, dutertrei",,various,modern,,
,ruber + ?,,various,modern,,
,sacculifera + ruber,,various,modern,,
,scitula-crassaformis,,various,modern,,
,"scitula, hirsuta",,various,modern,,
,sp,,various,unknown,,
,crassaformis-tosaensis,,various,palaeo,,
,crassaformis-tosaensis-truncatulinoides,,various,palaeo,,
,crassaformis-tosaensis-truncatulinoides-inflata,,various,palaeo,,
,crassula?,Truncorotalia crassula,various,palaeo,,
,menardii + tertiary forms,,various,palaeo,,
,punctulata + altispira,Dentoglobigerina altispira,various,palaeo,,
,sacculifera + fistulosus,Globigerinoides fistulosus - are these no longer sacculifer ?,various,palaeo,,
,sacculifera fistulosa,Globigerinoides fistulosus - are these no longer sacculifer ?,various,palaeo,,
,sacculifera-triloba,"Globigerinoides trilobus - could be modern or palaeo - if it is the transition form, is palaeo",various,palaeo,,
,subcretacea,phylogeny.name 'Dont know' (Aze) - probably very old!!,various,unknown,,
,"dehiscens, multiloba",Sphaeroidinella multiloba --> Sphaeroidinellopsis kochi,various,unknown,,
Globigerinita,glutinata,"Microperforate (Aze) ; Globigerinita/Globigerina glutinata, evolved from Globigerina juvenilis  (Plankton Stratigraphy Vol. 1)",various,unknown,,
Globigerina,incompta,Neogloboquadrina pachyderma (Aze),pachyderma,modern,,
Globigerinita,iota,Microperforate (Aze),various,unknown,,
,minuta,phylogeny.name 'Dont know' (Aze),various,unknown,,
Candeina,nitida,Microperforate (Aze),various,unknown,,
,"nitida, crassaformis, ruber",,various,unknown,,
,"nitida, glutinata",Microperforate (Aze),various,unknown,,
,oscitons,not found!,various,unknown,,
Hastigerina,pelagica,Microperforate (Aze),various,unknown,,
Globorotalia ,pumilio,phylogeny.name 'Dont know' (Aze),various,unknown,,
Globorotalia,punctulata,Globoconella puncticulata (Aze),various,unknown,,
,universa & Biorbulina,Orbulina universa,universa,modern,,
Globigerinita,uvula,Microperforate (Aze),various,unknown,,
,benthonic,,various,unknown,,
,sp,,various,unknown,,
,various,,various,unknown,,
