IRN,PF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,No. positioned individuals,Observations Marina,Buckley Slide/SL,Museum no.,Residue IRN,Cruise name,Cruise station no.,Collection date,Observations,Collect info,tow,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),Sample depth (cm),sample_depth_min,sample_depth_max,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5561943,71289,,Globorotalia,,menardii,multicamerata,Topotypes ; Cuchman & Jarvis ; Refer to Hourn. Pal. V.4 1930,Miocene,,5,,,,"1,963,612",16480,,,,,"1/2 mile E of Buff Bay, Jamaica",,,,,,,,,18,14,0,N,76,36,0,W,18.233,-76.6,Atlantic Ocean near Jamaica
5561944,71290,,Globorotalia,,menardii,multicamerata + flex.,,Miocene (Gunz),,64,,,821,"1965,O40",17371,RV Vema,V 16-21,09/11/59,,Sample depth: 555-558?,,,3795,2075,,55-58,55,58,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5561945,71291,,Globorotalia,,menardii,miocenica,,Pleistocene Gunz,,3,,,850,"1965,O41",17382,RV Vema ,V 16-23,12/11/59,,,,,4886,2672,,950-3,950,953,13,15,0,N,40,40,0,W,13.25,-40.66667,Atlantic ocean
5561946,71292,,Globorotalia,,menardii,multicamerata,,Pliocene,,36,,,842,"1965,O40",17371,RV Vema,V 16-21,09/11/59,,,,,3795,2075,,405-408,405,408,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5561947,71293,,Globorotalia,,menardii,miocenica,,Pliocene,,21,,,841,"1965,O40",17371,RV Vema,V 16-21,09/11/59,,,,,3795,2075,,405-408,405,408,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5561948,71294,,Globorotalia,,menardii,multicamerata,,Pliocene,,39,,,907,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,,3000,1640,,625-8,625,628,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5561949,71295,,Globorotalia,,"menardii, tumida, miocenica",,,Zone N19,,19,,,1270,"1968,O381",18530,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,575-578,575,578,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561950,71296,,Globorotalia,,menardii,multicamerata,,Pliocene,,59,,,920,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,,,,3380,1848,,400-403,400,403,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5561951,71297,,Globorotalia,,menardii,miocenica,,,,1,,,970,"1965,O206",17371,RV Vema,V 16-21,09/11/59,"Residual IRN related to 1965,O40 (and not 1965,O206)",,,,3795,2075,,80-82,80,82,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5561952,71298,,Globorotalia,,menardii,multicamerata,,,,24,,,1008,"1965,O208",17163,RV Argo,A 185-7,,,,,,2470,1351,,421-422,421,422,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5561953,71299,,various,,,,,U. Miocene,,125,,,1128,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5561954,71300,,Globorotalia,,multicamerata,,,Zone N18 base,,8,,,1253,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561955,71301,,Globorotalia,,multicamerata,,,Lower N19,,11,,,1458,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561956,71302,,Globorotalia,,"menardii, miocenica, multicamerata",,,Zone N18,,5,,,1263,"1968,O382",,RV Spencer F. Baird,CAP 38 BP,02/02/53,Did not find IRN,,,,3400,1859,,626-629,626,629,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561957,71303,,Globorotalia,,multicamerata,,,N19 top ,,12,,,1569,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561958,71304,,Globorotalia,,"menardii, tumida, flexuosa, multicamerata",,,N21,,32,,,1596,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561959,71305,,Globorotalia,,menardii,miocenica,,Pliocene,,22,,,903,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,,3000,1640,,625-8,625,628,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5561960,71306,,various,,,,Tertiary foraminifera various - see list for core localities,Tertiary,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561961,71307,,Globorotalia,,menardii,flexuosa,Lamount core,,,57,,,,"1968,O416",18564,RV Vema,V 9-28,05/04/56,,320 cm (sea or sample depth??),,,,,,,,,2,54,0,N,33,9,30,W,2.9,-33.158,Atlantic ocean
5561962,71308,,Globorotalia,,menardii e flexuosa,,,,,27,,,966,"1965,O206",17371,RV Vema,V 16-21,09/11/59,"Residual IRN related to 1965,O40 (and not 1965,O206)",,,,3795,2075,,80-82,80,82,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5561963,71309,,Globorotalia,,menardii,flexuosa,Lamount core,,,32,,,,,,,A 185-72,,Did not find IRN,300 cm (sea or sample depth??),,,,,,,,,,,,,,,,,,,
5561964,71310,,Globorotalia,,anfracta,,,Zone N19,,1,,,1613,"1968,O396",18544, RV Horizon, LSDH 78 P,13/01/63,,,,,3208,1754,,465-468,465,468,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5561965,71311,,Globorotalia,,anfracta?,,,N19 top ,,1,,,1568,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561966,71312,,Globorotalia,,"inflata, tosaensis, crassaformis",,,,,99,,,1190,"1968,O239",18480,RV Argo,Dodo 57P,19/06/64,,,,,3653,1997,,33-36,33,36,15,40,0,S,112,44,0,E,-15.66667,112.73333,Indian ocean
5561967,71313,,Globorotalia,,"tosaensis, truncatulinoides",,,Quaternary,,67,,,1604,"1968,O376",18525,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,381-384,381,384,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561968,71314,,Globorotalia,,tosaensis,,Takayanagi & Saito,,,3,,,,"1968,O289",18524,RV Argo,Dodo 57P,19/06/64,sea depth 3660 m,,,,3653,1997,,20-22,20,22,15,40,0,S,112,44,0,E,-15.66667,112.73333,Indian ocean
5561969,71315,,Globorotalia,,tosaensis,,Ideotype; Takayanagi & Saito,Pliocene,,6,,,,"1968,O414",18562,RV Vema,V20-163,05/09/64,,From core 648 cm long,,,2706,1480,,101-104,101,104,17,12,0,S,88,41,0,E,-17.2,88.683,Indian ocean
5561970,71316,,Globorotalia,,"inflata, tosaensis, crassaformis",,,,,51,,,1191,"1968,O246",18487,RV Argo,Dodo 141G,19/09/64,sea depth 3745 m,,,,3600,1969,,103-6,103,106,24,42,0,S,73,5,0,E,-24.7,73.083,Indian ocean
5561971,71317,,various,,,,see list,Pliocene,,75,,,908,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,,3000,1640,,625-8,625,628,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5561972,71318,,Globorotalia,,tosaensis,,,Zone N19,,2,,,1612,"1968,O394",18542,RV Horizon,LSDH 78 P,13/01/63,,,,,3208,1754,,103-105,103,105,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5561973,71319,,Globorotalia,,tosaensis,,crassaformis?,Zone N21,,12,,,1198,"1968,O246",18487,RV Argo,Dodo 141G,19/09/64,,,,,3600,1969,,103-6,103,106,24,42,0,S,73,5,0,E,-24.7,73.083,Indian ocean
5561974,71320,,Globigerina,,nepenthes,,Todd; Topotypes; togpochau ls donni ss. member saipan,Miocene,,13,,,,"1965,O247",17204,,Locality S 621,,,,,,,,,land,,,15,13,0,N,145,46,0,E,15.217,145.767,Saipan Island limestone
5561975,71321,,Globigerina,,nepenthes,,,,,9,,,1007,"1965,O208",17163,RV Argo,A 185-7,,,,,,2470,1351,,421-422,421,422,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5561976,71322,,Globigerina,,nepenthes,,(Todd),U. Miocene,,15,,,1119,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5561977,71323,,Globigerina,,nepenthes,,Todd,,+250 mu,13,,,1031,"1965,O40",17371,RV Vema,V 16-21,09/11/59,,,,,3795,2075,,405-408,405,408,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5561978,71324,,Globigerina,,nepenthes,,,Zone N18 base,,4,,,1252,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561979,71325,,Globigerina,,"nepenthes, glutinata, cf tenellus",,,Pliocene,,37,,,926,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,,,,3380,1848,,400-403,400,403,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5561980,71326,,Globigerina,,nepenthes,,Without final chamber,U. Miocene,,8,,,1125,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5561981,71327,,Globigerina,,"nepenthes, apertura, obliquus, hexagona, bollii?",,,,,18,,,1265,"1968,O382",,RV Spencer F. Baird,CAP 38 BP,02/02/53,Did not find IRN,,,,3400,1859,,626-629,626,629,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561982,71328,,Globigerina,,decoraperta,,,Zone N18 base,,12,,,1256,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561983,71329,,Globigerina,,decoraperta,,,,,11,,,1605,"1968,O396",18544, RV Horizon, LSDH 78 P,13/01/63,,,,,3208,1754,,465-468,465,468,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5561984,71330,,Globoquadrina,,dehiscens,,,,,10,,,1249,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,789-791,789,791,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561985,71331,,Globoquadrina,,dehiscens,,,Quaternary - N19,,1,,,1608,"1968,O392",18540,RV Horizon, LSDH 78 P,13/01/63,,,,,3208,1754,,68-70,68,70,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5561986,71332,,Globoquadrina,,acostaensis,,,Zone N18 base,,3,,,1248,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,,,,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561987,71333,,Globoquadrina,,acostaensis,,,Zone N18,,2,,,1264,"1968,O382",,RV Spencer F. Baird,CAP 38 BP,02/02/53,Did not find IRN,,,,3400,1859,,626-629,626,629,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561988,71334,,Globoquadrina,,acostaensis,,,Zone N16,,1,,,1616,"1968,O389",18537,RV Spencer F. Baird,PROA 88 P,05/07/62,,,,,,,,203-6,203,206,2,56,0,N,167,14,0,E,2.933,167.233,Pacific ocean
5561989,71335,,Globoquadrina,,humerosa,,,U. Miocene,,37,,,1139,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5561990,71336,,Globoquadrina,,humerosa,,,Zone N20,,29,,,1183,"1968,O243",18484,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,,3398,1858,,251-254,251,254,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5561991,71337,,Globoquadrina,,humerosa,,,Zone N19,,6,,,1275,"1968,O381",18530,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,575-578,575,578,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561992,71338,,Globoquadrina,,humerosa,,,Lower N19,,4,,,1468,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561993,71339,,Globoquadrina,,pseudofoliata,,,Zone N19,,4,,,1278,"1968,O381",18530,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,575-578,575,578,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561994,71340,,Globoquadrina,,pseudofoliata,,,Zone N20,,8,,,1182,"1968,O243",18484,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,,3398,1858,,251-254,251,254,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5561995,71341,,Globoquadrina,,pseudofoliata,,,Quaternary - N19,,10,,,1607,"1968,O392",18540,RV Horizon,LSDH 78 P,13/01/63,,,,,3208,1754,,68-70,68,70,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5561996,71342,,Globoquadrina,,pseudofoliata,,,N19 top ,,3,,,1572,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561997,71343,,Globoquadrina,,pseudofoliata,,,N21,,12,,,1593,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561998,71344,,Globoquadrina,,pseudofoliata,,,Lower N19,,5,,,1464,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5561999,71345,,Globoquadrina,,pseudofoliata,,,Zone N19,,7,,,1609,"1968,O393",18541,RV Horizon,LSDH 78 P,13/01/63,,,,,3208,1754,,89-91,89,91,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5562000,71346,,Globoquadrina,,venezuelana,,see note,,,10,,,,M.7487,37148,HMS Sealark,181,09/11/05,,,,,3758,2055,,,,,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
5562001,71347,,Globoquadrina,,venezuelana,,,U. Miocene,,22,,,1121,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5562002,71348,,Globoquadrina,,venezuelana,,,Zone N18 base,,15,,,1242,"1968,O384",18532,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,,,,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562003,71349,,Globoquadrina,,venezuelana,,,Pliocene,,18,,,916,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,,,,3380,1848,,400-403,400,403,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5562004,71350,,Globoquadrina,,venezuelana,,,Lower N19,,1,,,1470,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562005,71351,,Globoquadrina,,venezuelana,,(Hedberg),Zone N19,,6,,,1272,"1968,O381",18530,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,575-578,575,578,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562006,71352,,Globoquadrina,,venezuelana,,,N21,,11,,,1594,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562007,71353,,Globoquadrina,,venezuelana,,,N19 top ,,11,,,1573,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562008,71354,,Globoquadrina,,"altispira, hexagona,inflata, hirsuta",,,Pleistocene Gunz,,8,,,826,"1965,O40",17371,RV Vema,V 16-21,09/11/59,,Sample depth: 555-558?,,,3795,2075,,55-58,55,58,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5562009,71355,,various,,,,,Pliocene,,44,,,846,"1965,O40",17371,RV Vema,V 16-21,09/11/59,,,,,3795,2075,,405-408,405,408,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
