"lat","long","lat_deg","lat_min","lat_sec","lat_N_S","long_deg","long_min","long_sec","long_W_E","tow","sample_depth_min","sample_depth_max","sample_type","buckley_sea_depth","NOAA_sea_depth","Diff_Buckley_NOAA","Ocean","OBD_IRN","acostaensis","adamsi","altispira","anfracta","bollii","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","decoraperta","digitata","dutertrei","falconensis","fohsi","glomerosa","glutinata","hexagona","hirsuta","humerosa","humilis","inflata","iota","insueta","mayeri","menardii","minuta","mitra","multicamerata","nepenthes","nitida","obliquiloculata","obliquus","pachyderma","pelagica","praepumilio","primalis","pseudofoliata","pumilio","punctulata","quinqueloba","ruber","rubescens","sacculifera","scitula","seminulina","siphonifera","spectabilis","subdehiscens","tenellus","tosaensis","trilobus","truncatulinoides","tumida","universa","uvula","venezuelana","various","ssp_richness","total_idind","total_ind"
-9.88333,-110.68333,9,53,0,"S",110,41,0,"W",0,"5","9","top_core","2770",-2712,58,"Pacific ocean",16654,0,0,0,0,0,0,3,4,6,0,4,0,0,3,0,0,0,11,6,0,0,7,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,8,17,0,0,7,0,0,5,0,0,0,6,6,0,0,0,17,109,109
-21.25,-14.03333,21,15,0,"S",14,2,0,"W",0,"no_info","no_info","no_info","3639",-3740,-101,"Atlantic ocean",34991,0,0,0,0,0,0,6,70,0,0,6,0,4,4,9,0,0,15,0,0,0,10,9,0,0,0,33,0,0,0,0,8,4,0,0,9,0,0,0,3,0,0,97,5,14,0,0,11,0,0,7,0,0,4,8,5,0,0,5,22,341,346
-13.09167,-124.28,13,5,30,"S",124,16,48,"W",0,"4","8","top_core","3850",-3456,394,"Pacific ocean",16640,0,0,0,0,0,0,0,5,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,14,0,0,9,0,0,0,0,0,0,13,0,0,0,0,9,83,83
-14.27333,-120.68,14,16,24,"S",120,40,48,"W",0,"4","8","top_core","3590",-3617,-27,"Pacific ocean",16641,0,0,0,0,0,0,9,5,10,0,0,0,3,3,0,0,0,7,3,0,0,15,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,14,16,3,0,7,0,0,8,0,0,0,0,0,0,0,12,16,127,139
5.43333,-131.31667,5,26,0,"N",131,19,0,"W",0,"7","10","top_core","4155",-3415,740,"Pacific ocean",16645,0,0,0,0,0,0,2,10,6,8,8,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,15,0,0,1,0,10,0,0,0,0,0,4,17,3,0,0,23,15,122,145
-18.33333,-79.34167,18,20,0,"S",79,20,30,"W",0,"8","12","top_core","3090",-3157,-67,"Pacific ocean",16650,0,0,0,0,0,15,0,2,7,5,4,0,0,12,0,0,0,0,7,12,0,0,13,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,14,7,0,5,0,0,0,0,0,0,0,0,0,0,10,15,121,131
-14.73333,-112.1,14,44,0,"S",112,6,0,"W",0,"12","15","top_core","3120",-3034,86,"Pacific ocean",16653,0,0,0,0,0,0,10,7,8,2,5,0,0,10,0,0,0,17,11,0,0,15,0,0,0,0,16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,18,16,17,20,0,6,0,0,6,0,0,0,0,0,0,0,18,17,192,210
-16.41667,66.03333,16,25,0,"S",66,2,0,"E",0,"4","9","top_core","3658",-2810,848,"Indian ocean",16657,0,0,0,0,0,0,0,9,7,0,7,0,0,11,0,0,0,19,4,0,0,16,0,0,0,0,16,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,9,13,15,4,0,11,0,0,9,0,0,7,4,0,0,0,0,18,171,171
7.19333,63.0425,7,11,36,"N",63,2,33,"E",0,"core = 8","core = 8","many_cores","4042",-4346,-304,"Indian ocean",30724,0,1,0,0,0,0,0,11,4,8,7,0,6,9,0,0,0,6,6,0,0,10,0,0,0,0,5,0,0,0,0,2,8,0,13,0,0,0,0,0,0,0,15,6,9,0,0,9,0,0,6,0,0,6,9,4,0,0,20,22,160,180
-23.60833,-118.225,23,36,30,"S",118,13,30,"W",0,"7","11","top_core","",-3362,NA,"Pacific ocean",16656,0,1,0,0,0,14,0,18,5,36,2,0,7,0,0,0,0,7,3,0,0,17,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,11,4,15,16,0,12,0,0,19,0,0,9,0,0,0,0,9,19,216,225
-19.56667,64.63333,19,34,0,"S",64,38,0,"E",0,"no_info","no_info","no_info","2869",-2708,161,"Indian ocean",34671,0,0,0,0,0,0,7,9,0,1,9,0,3,7,0,0,0,16,0,0,0,3,0,0,0,0,13,0,0,0,0,3,10,0,2,5,0,0,0,0,0,0,14,11,9,0,0,10,0,0,10,0,0,8,9,0,0,0,12,20,159,171
-12.11667,64.125,12,7,0,"S",64,7,30,"E",0,"no_info","no_info","no_info","3919",-3322,597,"Indian ocean",37190,0,1,0,0,0,0,5,15,8,0,15,0,3,8,0,0,0,15,7,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,8,0,14,3,0,10,0,0,0,0,0,0,11,0,0,0,6,17,152,158
7.08333,73.80417,7,5,0,"N",73,48,15,"E",0,"no_info","no_info","no_info","2749",-2658,91,"Indian ocean near coast",35238,0,1,0,0,0,0,5,8,8,0,13,0,3,9,0,0,0,12,3,0,0,0,0,0,0,0,20,0,0,0,0,1,7,0,3,0,0,0,0,0,0,0,10,9,11,9,0,8,0,0,6,0,0,0,1,0,0,0,21,20,147,168
-2.70167,67.38333,2,42,6,"S",67,23,0,"E",0,"no_info","no_info","no_info","3475",-3594,-119,"Indian ocean",37149,0,0,0,0,0,0,6,15,9,3,25,0,3,16,0,0,0,6,14,0,0,0,0,0,0,0,20,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,14,0,48,9,0,10,0,0,0,0,0,0,12,0,0,0,10,17,228,238
-7.59167,61.48333,7,35,30,"S",61,29,0,"E",0,"no_info","no_info","no_info","3758",-3507,251,"Indian ocean",37148,0,0,0,0,0,0,3,8,13,0,10,0,0,22,0,0,0,18,10,0,0,0,0,0,0,0,19,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,5,0,21,4,0,11,0,0,0,0,0,2,11,2,0,10,15,18,189,204
