IRN,ZF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,No. positioned individuals,Observations Marina,Buckley Slide/SL,Museum no.,Residue IRN,Cruise name,Cruise station no.,Collection date,Observations,Collect info,tow,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),Sample depth (cm),sample_depth_min,sample_depth_max,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5271525,5816,,Globorotalia,,tumida,,,,,5,,tow,1065,,18575,OMANGO Cruise 20 / Ombango,514,08/09/64,,"Plankton tow, 0-50 m?",1,-5067,,,,,,,7,36,0,S,5,25,0,E,-7.6,5.41667,Atlantic ocean
5271526,5817,,Globorotalia,,tumida,,,,,1,,tow,1102,,18719,Anton Bruun (A.B.) cruise 2,"Stn 139, no. 796",12/07/63,,Plankton tow,1,-5228,0-250,,,,,,8,37,0,S,79,34,0,E,-8.61667,79.56667,Indian ocean
5271528,5819,,Globorotalia,,tumida,,,,,2,,tow,1399,"1968,O446",18595,Oceanographer,16,17/08/67,,,1,-1590,50,27,,,,,18,23,0,S,113,22,0,E,-18.38333,113.36667,Indian ocean
5271530,5820,,Globorotalia,,tumida,,,,,1,,tow,1416,"1968,O449",18598,Oceanographer,19,20/08/67,,,1,-1056,50,27,,,,,26,5,0,S,111,36,0,E,-26.08333,111.6,Indian ocean
5271533,5823,,Globorotalia,,tumida,,,,,20,,tow,1561,"1968,O462",18611,Oceanographer,15-Jul,17/08/67,,,1,-2506,50,27,,,,,16,39,0,S,113,3,0,E,-16.65,113.05,Indian ocean
5271577,5862,*,Globorotalia,,truncatulinoides,,non-calcified/young,,,40,,tow,1038,"1965,O363",18265,Zapiola,,Sep-63,,Surface plankton tow,1,-5476,0,0,,,,,44,14,0,S,50,14,0,W,-44.23333,-50.23333,Atlantic ocean
5271578,5863,,Globorotalia,,truncatulinoides,,,,,7,,tow,76 or 77,,,Eltanin Cruise 24,no.1601,,,Plankton tow,1,-5376,0-200,,,,,,42,30,0,S,147,57,0,W,-42.5,-147.95,Pacific ocean
5271579,5864,,Globorotalia,,truncatulinoides,,,,,33,,tow,1112,,,Eltanin Cruise 24,no.1613,25/07/66,,Plankton tow,1,-5367,0-10,,,,,,40,0,0,S,144,44,0,W,-40,-144.73333,Pacific ocean
5271582,5867,*,Globorotalia,,truncatulinoides,,D' Orbigny,,,44,,tow,1237,"1968,O425",18573,Zapiola,61,27/09/63,,Surface plankton tow,1,-5094,,,,,,,42,0,0,S,49,43,0,W,-42,-49.71667,Atlantic ocean
5271584,5869,,Globorotalia,,truncatulinoides,,,,,8,,tow,1404,"1968,O448",18597,Oceanographer,18,19/08/67,,,1,-114,50,27,,,,,24,30,0,S,112,31,0,E,-24.5,112.51667,Indian ocean near coast
5271585,5870,,Globorotalia,,truncatulinoides,,,,,10,,tow,1424,"1968,O450",18599,Oceanographer,20,20/08/67,,,1,-2096,50,27,,,,,26,55,0,S,111,34,0,E,-26.91667,111.56667,Indian ocean near coast
5271586,5871,,Globorotalia,,truncatulinoides,,,,,9,,tow,1433,"1968,O451",18600,Oceanographer,21,21/08/67,,,1,-431,50,27,,,,,28,13,0,S,113,17,0,E,-28.21667,113.28333,Indian ocean near coast
5271587,5872,,Globorotalia,,truncatulinoides,,,,,9,,tow,1439,"1968,O470",18619,Oceanographer,23-15,22/08/67,,,1,-98,50,27,,,,,23,57,0,S,113,6,0,E,-23.95,113.1,Indian ocean near coast
5271589,5873,,Globorotalia,,truncatulinoides,,,,,2,,tow,1499,"1968,O452",18601,Oceanographer,22B & 22U,21/08/67,,,1,-866,50,27,,,,,28,22,0,S,112,59,0,E,-28.36667,112.98333,Indian ocean near coast
5271641,5918,,Globorotalia,,crassaformis,,,,,1,,tow,1412,"1968,O448",18597,Oceanographer,18,19/08/67,,Icita net,1,-114,50,27,,,,,24,30,0,S,112,31,0,E,-24.5,112.51667,Indian ocean near coast
