Species,abund_tow,sites_tow,abund_top_core,sites_top_core,abund_deep_core,sites_deep_core,abund_total,sites_total,,,Species,abund_total,sites_total,
adamsi,7,2,2,2,1,1,13,8,,,menardii,1753,75,
bulloides,91,10,269,7,292,7,675,31,,,pachyderma,1752,52,
calida,29,10,39,6,6,1,133,25,,,sacculifera,1564,79,
conglobatus,24,13,196,17,322,12,774,60,,,ruber,1484,81,
conglomerata,1,1,69,11,69,4,214,28,,,dutertrei,1054,76,
crassaformis,1,1,162,10,127,7,311,27,,,inflata,866,36,
dehiscens,0,0,86,13,259,12,476,41,,,truncatulinoides,861,51,
digitata,0,0,38,8,21,7,90,25,,,siphonifera,855,75,
dutertrei,379,33,119,11,298,11,1054,76,,,conglobatus,774,60,
falconensis,12,1,38,4,11,1,127,13,,,glutinata,695,43,
hexagona,9,2,56,12,40,6,142,26,,,bulloides,675,31,
hirsuta,4,2,37,3,71,6,179,14,,,obliquiloculata,619,67,
humilis,0,0,107,9,22,2,147,14,,,dehiscens,476,41,
inflata,149,11,263,10,191,4,866,36,,,crassaformis,311,27,
menardii,529,34,183,9,493,12,1753,75,,,tenellus,308,26,
obliquiloculata,122,27,111,14,206,10,619,67,,,tumida,306,31,
pachyderma,256,10,238,5,235,6,1752,52,,,nitida,221,25,
quinqueloba,0,0,22,3,6,1,77,9,,,conglomerata,214,28,
ruber,392,34,371,18,578,13,1484,81,,,rubescens,200,23,
rubescens,2,1,95,9,60,6,200,23,,,hirsuta,179,14,
sacculifera,470,34,297,16,467,11,1564,79,,,scitula,166,25,*
scitula,8,1,69,9,20,4,166,25,,,universa,162,24,
siphonifera,126,24,226,19,326,12,855,75,,,humilis,147,14,*
tenellus,2,1,93,10,141,8,308,26,,,hexagona,142,26,
trilobus,47,1,0,0,0,0,47,1,,,calida,133,25,
truncatulinoides,182,13,176,12,244,9,861,51,,,falconensis,127,13,
tumida,29,5,85,9,79,6,306,31,,,digitata,90,25,
universa,36,8,75,7,76,7,162,24,,,quinqueloba,77,9,
glutinata,24,7,144,12,218,8,695,43,,,trilobus,47,1,
iota,0,0,31,5,0,0,31,5,,,pelagica,34,12,
nitida,0,0,81,10,144,10,221,25,,,iota,31,5,
pelagica,10,6,5,1,1,1,34,12,,,adamsi,13,8,
uvula,6,1,1,1,1,1,7,2,,,uvula,7,2,
,2947,,3784,,5025,,16343,,,,,16343,,
