IRN,BM no.: (Registration)/BM Number: (BM Number),Quantity: (Sample Information),Object
11881,"BM.1980,O92",,"BM.1980,O92, 44, HMS Hydra, 04/06/1980, 55 23  N; 8 16 22 W; Northeast Atlantic Ocean, underway sampler"
11883,"BM.1988,O84",,"BM.1988,O84, 52, Moray Firth IV, 02/11/1968, 50 30  N; 1 0  W; Northeast Atlantic Ocean, corer"
11885,"BM.1936,1275(1)",,"BM.1936,1275(1), 271, HMS Challenger, 06/09/1875, 0 33 0 S; 151 34 0 W; Eastern Central Pacific Ocean"
11886,"BM.1936,1275(2)",,"BM.1936,1275(2), 157, HMS Challenger, 03/03/1874, 53 55 0 S; 108 35 0 E; Antarctic Indian Ocean"
11887,"BM.1937,127(1)",1 box,"BM.1937,127(1), 534, Pourquoi-Pas, 12/08/1924, 49 19  N; 4 7  W; Northeast Atlantic Ocean"
11888,"BM.1937,127(10)",,"BM.1937,127(10), 1086, |Pourquoi-Pas|, 30/09/1925, 47 5  N; 4 41  W; Northeast Atlantic Ocean"
11889,"BM.1937,127(11)",,"BM.1937,127(11), 1086, |Pourquoi-Pas|, 30/09/1925, 46 59  N; 4 50  W; Northeast Atlantic Ocean"
11890,"BM.1937,127(12)",,"BM.1937,127(12), 1093, Pourquoi-Pas, 05/10/1925, 47 39  N; 3 19  W; Northeast Atlantic Ocean"
11891,"BM.1937,127(13)",,"BM.1937,127(13), 306, Pourquoi-Pas, 14/05/1923, 38 33  N; 1 15  E; Northeast Atlantic Ocean"
11892,"BM.1937,127(14)",,"BM.1937,127(14), 319, Pourquoi-Pas, 19/05/1923, 43 9  N; 5 33  E; Northeast Atlantic Ocean"
11893,"BM.1937,127(15)",,"BM.1937,127(15), 321, Pourquoi-Pas, 19/05/1923, 42 59  N; 5 34  E; Northeast Atlantic Ocean"
11894,"BM.1937,127(16)",,"BM.1937,127(16), 348, Pourquoi-Pas, 07/06/1923, 33 42  N; 11 28  E; Eastern Central Atlantic Ocean"
11895,"BM.1937,127(17)",,"BM.1937,127(17), 2106, |Pourquoi-Pas|, 30/06/1927, 51 15  N; 2 13  E; Northeast Atlantic Ocean"
11896,"BM.1937,127(18)",,"BM.1937,127(18), 2121, |Pourquoi-Pas|, 21/07/1927, 55 39  N; 4 24  E; Northeast Atlantic Ocean"
11897,"BM.1937,127(19)",,"BM.1937,127(19), 504, |Pourquoi-Pas|, 06/06/1924, 49 48  N; 7 35  W; Northeast Atlantic Ocean"
11898,"BM.1937,127(2)",,"BM.1937,127(2), 2004, Pourquoi-Pas, 25/06/1926, 49 7  N; 3 38  W; Northeast Atlantic Ocean"
11899,"BM.1937,127(20)",,"BM.1937,127(20), 130, |Pourquoi-Pas|, 17/06/1924, 57 40  N; 13 30  W; Northeast Atlantic Ocean, Dredge"
11900,"BM.1937,127(21)",,"BM.1937,127(21), 21, HMS Challenger, 27/07/1936, 10 37 59 N; 61 53 6 W; Western Central Atlantic Ocean"
11901,"BM.1937,127(22)",,"BM.1937,127(22), 22, HMS Challenger, 27/07/1936, 10 38 30 N; 61 42 48 W; Western Central Atlantic Ocean"
11902,"BM.1937,127(23)",,"BM.1937,127(23), 23, HMS Challenger, 27/07/1936, 10 39 12 N; 61 51 54 W; Western Central Atlantic Ocean"
11903,"BM.1937,127(24)",,"BM.1937,127(24), 24, HMS Challenger, 27/07/1936, 10 38 54 N; 61 50 54 W; Western Central Atlantic Ocean"
11904,"BM.1937,127(3)",,"BM.1937,127(3), 2005, Pourquoi-Pas, 25/06/1926, 49 13  N; 3 57  W; Northeast Atlantic Ocean"
11905,"BM.1937,127(4)",,"BM.1937,127(4), 2011, |Pourquoi-Pas|, 26/06/1926, 48 47  N; 5 25  W; Northeast Atlantic Ocean"
11906,"BM.1937,127(5)",,"BM.1937,127(5), 2028, |Pourquoi-Pas|, 03/07/1925, 49 14  N; 5 9  W; Northeast Atlantic Ocean"
11907,"BM.1937,127(6)",,"BM.1937,127(6), 1049, Pourquoi-Pas, 09/09/1925, 47 38  N; 3 58  W; Northeast Atlantic Ocean"
11908,"BM.1937,127(7)",,"BM.1937,127(7), 1050, Pourquoi-Pas, 09/09/1925, 47 42  N; 4 8 30 W; Northeast Atlantic Ocean"
11909,"BM.1937,127(8)",,"BM.1937,127(8), 1080, |Pourquoi-Pas|, 22/09/1925, 43 49  N; 1 59  W; Southwest Atlantic Ocean"
11910,"BM.1937,127(9)",,"BM.1937,127(9), 1082, |Pourquoi-Pas|, 29/09/1925, 46 23  N; 2 28  W; Northeast Atlantic Ocean"
11911,"BM.1937,1611(1)",,"BM.1937,1611(1), 1, HMS Rosemary, 21/04/1930, 57 47 42 N; 11 7 6 W; Northeast Atlantic Ocean"
11912,"BM.1937,1611(10)",,"BM.1937,1611(10), 19, HMS Rosemary, 01/05/1930, 58 12 54 N; 11 1 36 W; Northeast Atlantic Ocean"
11913,"BM.1937,1611(11)",,"BM.1937,1611(11), 21, HMS Rosemary, 01/05/1930, 58 32 48 N; 11 44 48 W; Northeast Atlantic Ocean"
11914,"BM.1937,1611(13)",,"BM.1937,1611(13), 24, HMS Rosemary, 01/05/1930, 59 0 30 N; 12 45 24 W; Northeast Atlantic Ocean"
11915,"BM.1937,1611(14)",Small amount,"BM.1937,1611(14), 25, HMS Rosemary, 01/05/1930, 59 8 18 N; 12 33 30 W; Northeast Atlantic Ocean"
11916,"BM.1937,1611(15)",Small amount,"BM.1937,1611(15), 29, HMS Rosemary, 02/01/1930, 58 40  N; 11 9  W; Northeast Atlantic Ocean"
11917,"BM.1937,1611(16)",,"BM.1937,1611(16), 33, HMS Rosemary, 02/05/1930, 58 24 24 N; 10 18  W; Northeast Atlantic Ocean"
11918,"BM.1937,1611(17)",Small amount,"BM.1937,1611(17), 34, HMS Rosemary, 02/05/1930, 58 34 42 N; 10 40 42 W; Northeast Atlantic Ocean"
11919,"BM.1937,1611(18)",,"BM.1937,1611(18), 35, HMS Rosemary, 02/05/1930, 58 52 42 N; 11 24 18 W; Northeast Atlantic Ocean"
11920,"BM.1937,1611(19)",,"BM.1937,1611(19), 36, HMS Rosemary, 02/05/1930, 58 59 30 N; 11 44  W; Northeast Atlantic Ocean"
11921,"BM.1937,1611(2)",,"BM.1937,1611(2), 2, HMS Rosemary, 21/04/1930, 57 56 54 N; 11 28 36 W; Northeast Atlantic Ocean"
11922,"BM.1937,1611(20)",,"BM.1937,1611(20), 38, HMS Rosemary, 03/05/1930, 59 11 30 N; 12 27 6 W; Northeast Atlantic Ocean"
11923,"BM.1937,1611(21)",,"BM.1937,1611(21), 46, HMS Rosemary, 03/05/1930, 58 39  N; 9 42 30 W; Northeast Atlantic Ocean"
11924,"BM.1937,1611(22)",Small amount,"BM.1937,1611(22), 47, HMS Rosemary, 03/05/1930, 58 47 36 N; 10 6  W; Northeast Atlantic Ocean"
11925,"BM.1937,1611(23)",,"BM.1937,1611(23), 48, HMS Rosemary, 04/05/1930, 58 54 36 N; 10 24  W; Northeast Atlantic Ocean"
11926,"BM.1937,1611(24)",,"BM.1937,1611(24), 50, HMS Rosemary, 04/05/1930, 59 7 30 N; 10 57 30 W; Northeast Atlantic Ocean"
11927,"BM.1937,1611(25)",Small amount,"BM.1937,1611(25), 51, HMS Rosemary, 04/05/1930, 59 15 36 N; 11 18 24 W; Northeast Atlantic Ocean"
11928,"BM.1937,1611(26)",Small amount,"BM.1937,1611(26), 52, HMS Rosemary, 04/05/1930, 59 23  N; 11 39  W; Northeast Atlantic Ocean"
11929,"BM.1937,1611(27)",Small amount,"BM.1937,1611(27), 53, HMS Rosemary, 04/05/1930, 59 30 30 N; 11 59  W; Northeast Atlantic Ocean"
11930,"BM.1937,1611(28)",,"BM.1937,1611(28), 57, HMS Rosemary, 04/05/1930, 59 7 42 N; 10 24  W; Northeast Atlantic Ocean"
11931,"BM.1937,1611(29)",,"BM.1937,1611(29), 79, HMS Rosemary, 15/05/1930, 59 20 48 N; 9 33 12 W; Northeast Atlantic Ocean"
11932,"BM.1937,1611(3)",,"BM.1937,1611(3), 3, HMS Rosemary, 21/04/1930, 58 6 1 N; 11 50  W; Northeast Atlantic Ocean"
11933,"BM.1937,1611(30)",Small amount,"BM.1937,1611(30), 80, HMS Rosemary, 15/05/1930, 59 10 18 N; 9 28 18 W; Northeast Atlantic Ocean"
11934,"BM.1937,1611(31)",,"BM.1937,1611(31), 89, HMS Rosemary, 17/05/1930, 59 46 30 N; 10 30  W; Northeast Atlantic Ocean"
11935,"BM.1937,1611(32)",,"BM.1937,1611(32), 90, HMS Rosemary, 17/05/1930, 59 39 42 N; 10 12  W; Northeast Atlantic Ocean"
11936,"BM.1937,1611(33)",Small amount,"BM.1937,1611(33), 91, HMS Rosemary, 17/05/1930, 59 33 12 N; 9 53 24 W; Northeast Atlantic Ocean"
11937,"BM.1937,1611(34)",,"BM.1937,1611(34), 92, HMS Rosemary, 17/05/1930, 59 30 12 N; 9 44 24 W; Northeast Atlantic Ocean"
11938,"BM.1937,1611(35)",Small amount,"BM.1937,1611(35), 93, HMS Rosemary, 17/05/1930, 59 24 6 N; 9 27 12 W; Northeast Atlantic Ocean"
11939,"BM.1937,1611(36)",Small amount,"BM.1937,1611(36), 94, HMS Rosemary, 19/05/1930, 59 52 42 N; 10 2 42 W; Northeast Atlantic Ocean"
11940,"BM.1937,1611(37)",Small amount,"BM.1937,1611(37), 95, HMS Rosemary, 19/05/1930, 59 46 12 N; 9 44 42 W; Northeast Atlantic Ocean"
11941,"BM.1937,1611(38)",Small amount,"BM.1937,1611(38), 99, HMS Rosemary, 19/05/1930, 59 16 48 N; 9 5  W; Northeast Atlantic Ocean"
11942,"BM.1937,1611(39)",Small amount,"BM.1937,1611(39), 100, HMS Rosemary, 19/05/1930, 59 20 6 N; 9 35 54 W; Northeast Atlantic Ocean"
11943,"BM.1937,1611(4)",Small amount,"BM.1937,1611(4), 4, HMS Rosemary, 21/04/1930, 58 15 12 N; 12 11 48 W; Northeast Atlantic Ocean"
11944,"BM.1937,1611(40)",,"BM.1937,1611(40), 114, HMS Rosemary, 20/05/1930, 59 14 6 N; 10 20 30 W; Northeast Atlantic Ocean"
11945,"BM.1937,1611(41)",,"BM.1937,1611(41), 117, HMS Rosemary, 20/05/1930, 59 9 54 N; 9 49 18 W; Northeast Atlantic Ocean"
11946,"BM.1937,1611(42)",Small amount,"BM.1937,1611(42), 137, HMS Rosemary, 03/06/1930, 65 33 30 N; 12 15 36 W; Northeast Atlantic Ocean"
11947,"BM.1937,1611(43)",,"BM.1937,1611(43), 169, HMS Rosemary, 15/06/1930, 67 38 54 N; 15 55 12 W; Northeast Atlantic Ocean"
11948,"BM.1937,1611(44)",,"BM.1937,1611(44), 170, HMS Rosemary, 15/06/1930, 67 38 24 N; 15 30  W; Northeast Atlantic Ocean"
11949,"BM.1937,1611(45)",,"BM.1937,1611(45), 174, HMS Rosemary, 15/06/1930, 67 18 24 N; 15 24 54 W; Northeast Atlantic Ocean"
11950,"BM.1937,1611(46)",,"BM.1937,1611(46), 181, HMS Rosemary, 16/06/1930, 67 25 18 N; 14 26 48 W; Northeast Atlantic Ocean"
11951,"BM.1937,1611(47)",,"BM.1937,1611(47), 186, HMS Rosemary, 16/06/1930, 66 47 54 N; 14 19 48 W; Northeast Atlantic Ocean"
11952,"BM.1937,1611(48)",,"BM.1937,1611(48), 189, HMS Rosemary, 16/06/1930, 67 3 36 N; 14 12 6 W; Northeast Atlantic Ocean"
11953,"BM.1937,1611(49)",,"BM.1937,1611(49), 211, HMS Rosemary, 17/06/1930, 66 54 12 N; 13 13 54 W; Northeast Atlantic Ocean"
11954,"BM.1937,1611(5)",Small amount,"BM.1937,1611(5), 5, HMS Rosemary, 21/04/1930, 58 24 12 N; 12 31 36 W; Northeast Atlantic Ocean"
11955,"BM.1937,1611(50)",,"BM.1937,1611(50), 213, HMS Rosemary, 17/06/1930, 67 14 36 N; 12 14 36 W; Northeast Atlantic Ocean"
11956,"BM.1937,1611(51)",,"BM.1937,1611(51), 217, HMS Rosemary, 18/06/1930, 66 36 18 N; 13 39 24 W; Northeast Atlantic Ocean"
11957,"BM.1937,1611(52)",Small amount,"BM.1937,1611(52), 238, HMS Rosemary, 66   N; 13   W; Northeast Atlantic Ocean"
11958,"BM.1937,1611(53)",Small amount,"BM.1937,1611(53), 245, HMS Rosemary, 07/07/1930, 66 15 18 N; 11 51  W; Northeast Atlantic Ocean"
11959,"BM.1937,1611(54)",Small amount,"BM.1937,1611(54), 250, HMS Rosemary, 07/07/1930, 65 56 30 N; 12 39 30 W; Northeast Atlantic Ocean"
11960,"BM.1937,1611(55)",,"BM.1937,1611(55), 265, HMS Rosemary, 23/07/1930, 66 21  N; 12 12 18 W; Northeast Atlantic Ocean"
11961,"BM.1937,1611(6)",,"BM.1937,1611(6), 6, HMS Rosemary, 21/04/1930, 58 34 30 N; 12 51  W; Northeast Atlantic Ocean"
11962,"BM.1937,1611(7)",,"BM.1937,1611(7), 7, HMS Rosemary, 21/04/1930, 58 44  N; 13 15  W; Northeast Atlantic Ocean"
11963,"BM.1937,1611(8)",,"BM.1937,1611(8), 8, HMS Rosemary, 21/04/1930, 58 51 24 N; 13 2 24 W; Northeast Atlantic Ocean"
11964,"BM.1937,1611(9)",Small amount,"BM.1937,1611(9), 9, HMS Rosemary, 22/04/1930, 58 45 48 N; 12 54 36 W; Northeast Atlantic Ocean"
11965,"BM.1937,1612(1)",,"BM.1937,1612(1), 1, HMS Herald, 10 16 54 N; 110 9 54 E; Western Central Pacific Ocean"
11966,"BM.1937,1612(10)",,"BM.1937,1612(10), 2/, HMS Herald, 1936, 17 0 36 N; 115 22 12 E; Western Central Pacific Ocean"
11967,"BM.1937,1612(11)",,"BM.1937,1612(11), 3/, HMS Herald, 1936, 5 56  N; 114 10  E; Western Central Pacific Ocean"
11968,"BM.1937,1612(12)",,"BM.1937,1612(12), 22, HMS Rosemary, 58 42  N; 11 42  W; Northeast Atlantic Ocean"
11969,"BM.1937,1612(13)",,"BM.1937,1612(13), 4/, HMS Herald, 1936, 6 20  N; 113 43 30 E; Western Central Pacific Ocean"
11970,"BM.1937,1612(14)",,"BM.1937,1612(14), 5/, HMS Herald, 1936, 7 56 54 N; 110 55 18 E; Western Central Pacific Ocean"
11971,"BM.1937,1612(15)",,"BM.1937,1612(15), 6/, HMS Herald, 1936, 9 18 6 N; 111 21 6 E; Western Central Pacific Ocean"
11972,"BM.1937,1612(2)",,"BM.1937,1612(2), 2, HMS Herald, 10 18 36 N; 110 2  E; Western Central Pacific Ocean"
11973,"BM.1937,1612(3)",,"BM.1937,1612(3), 3, HMS Herald, 10 28 24 N; 110 19 30 E; Western Central Pacific Ocean"
11974,"BM.1937,1612(4)",,"BM.1937,1612(4), 4, HMS Herald, 10 4 18 N; 110 13 18 E; Western Central Pacific Ocean"
11975,"BM.1937,1612(5)",,"BM.1937,1612(5), 5, HMS Herald, 10 40  N; 110 22 48 E; Western Central Pacific Ocean"
11976,"BM.1937,1612(6)",,"BM.1937,1612(6), 6, HMS Herald, 10 46 48 N; 110 21 30 E; Western Central Pacific Ocean"
11977,"BM.1937,1612(7)",,"BM.1937,1612(7), 7, HMS Herald, 10 26  N; 110 28 42 E; Western Central Pacific Ocean"
11978,"BM.1937,1612(8)",,"BM.1937,1612(8), 8, HMS Herald, 10 25 30 N; 110 16  E; Western Central Pacific Ocean"
11979,"BM.1937,1612(9)",,"BM.1937,1612(9), 9, HMS Herald, 10 8 30 N; 110 2  E; Western Central Pacific Ocean"
11980,"BM.1937,1613(1)",,"BM.1937,1613(1), 4, HMS Endeavour, 09/06/1937, 33 34 18 S; 161 14 48 E; Southwest Pacific Ocean"
11981,"BM.1937,1613(2)",,"BM.1937,1613(2), 5, HMS Endeavour, 10/09/1937, 33 48 36 S; 163 34 12 E; Southwest Pacific Ocean"
11982,"BM.1937,1613(3)",,"BM.1937,1613(3), 8, HMS Endeavour, 13/06/1937, 34 18 6 S; 170 40 48 E; Southwest Pacific Ocean"
11983,"BM.1937,1614(1)",,"BM.1937,1614(1), 1, HMS Challenger, 06/05/1936, 10 37 48 N; 61 52 6 W; Western Central Atlantic Ocean"
11984,"BM.1937,1614(10)",,"BM.1937,1614(10), 10, HMS Challenger, 07/07/1936, 10 37  N; 61 49 48 W; Western Central Atlantic Ocean"
11985,"BM.1937,1614(11)",,"BM.1937,1614(11), 11, HMS Challenger, 09/07/1936, 10 11 24 N; 61 49 36 W; Western Central Atlantic Ocean"
11986,"BM.1937,1614(12)",,"BM.1937,1614(12), 12, HMS Challenger, 10/07/1936, 10 26 36 N; 61 48 36 W; Western Central Atlantic Ocean"
11987,"BM.1937,1614(13)",,"BM.1937,1614(13), 13, HMS Challenger, 14/07/1936, 10 16  N; 61 43 6 W; Western Central Atlantic Ocean"
11988,"BM.1937,1614(14)",,"BM.1937,1614(14), 14, HMS Challenger, 15/07/1936, 10 13 6 N; 61 41 18 W; Western Central Atlantic Ocean"
11989,"BM.1937,1614(15)",,"BM.1937,1614(15), 15, HMS Challenger, 22/07/1936, 10 11 48 N; 61 43 36 W; Western Central Atlantic Ocean"
11990,"BM.1937,1614(16)",,"BM.1937,1614(16), 16, HMS Challenger, 23/07/1936, 10 11 12 N; 61 44 36 W; Western Central Atlantic Ocean"
11991,"BM.1937,1614(17)",,"BM.1937,1614(17), 17, HMS Challenger, 24/07/1936, 10 9 6 N; 61 53 36 W; Western Central Atlantic Ocean"
11992,"BM.1937,1614(18)",,"BM.1937,1614(18), 18, HMS Challenger, 27/07/1936, 10 37 42 N; 61 51 30 W; Western Central Atlantic Ocean"
