Sample (g) approx.,Sample info,Date Wandsworth,Museum no.,NHM loan,Residue IRN,Cruise name,Cruise station,Collection date,Observations,Sea Depth (m),Sea Depth (fms),Sample depth MIN (cm),Sample depth MAX (cm),Era,Grade,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
20,,05/03/15,M.408,ok,34991,HMS Challenger,338,,Dredge,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
1,,20/03/15,"1,959,638",ok,14609,Alpha 6 ,,08/09/57,Drifting Ice Station,1842,1007,0,2.5,,,85,15,0,N,167,54,0,W,85.25,-167.9,Artic Ocean
3,,20/03/15,"1,959,638",ok,14609,Alpha 6 ,,08/09/57,Drifting Ice Station,1842,1007,31,33.5,,,85,15,0,N,167,54,0,W,85.25,-167.9,Artic Ocean
0,Fine washings,20/03/15,"1,959,638",ok,14609,Alpha 6 ,,08/09/57,Drifting Ice Station,1842,1007,31,33.5,,,85,15,0,N,167,54,0,W,85.25,-167.9,Artic Ocean
4,,20/03/15,"1,959,638",ok,14609,Alpha 6 ,,08/09/57,Drifting Ice Station,1842,1007,61,64,,,85,15,0,N,167,54,0,W,85.25,-167.9,Artic Ocean
3,,20/03/15,"1,963,923",ok,16648,DWBG 70,,07/12/57,Gravity corer,2580,1411,0,8,,,48,28,30,S,113,17,0,W,-48.475,-113.28333,Pacific Ocean
4,,20/03/15,"1,963,928",ok,16653,DWBG 130,,11/02/58,Gravity corer,3120,1706,12,15,,,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5,,20/03/15,"1,963,932",ok,16658,MUK BP 20,,11/08/57,Piston corer,4225,2310,7,8,,,51,31,0,N,144,39,0,W,51.51667,-144.65,Pacific Ocean
5,,20/03/15,"1965,O199",ok,17156,HMS Dampier,,,Beacon anchor,113,62,,,,,4,47,6,N,118,43,30,E,4.785,118.725,Darvel Bay / Pacific Ocean
5,,20/03/15,"1965,O206",,17371,RV Vema,V 16-21,09/11/59,"Residual IRN related to 1965,O40 (and not 1965,O206)",3795,2075,80,82,,,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
2,,20/03/15,"1965,O208",ok,17163,RV Argo,A 185-7,,,2470,1351,402,402,,,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5,,20/03/15,"1965,O208",ok,17163,RV Argo,A 185-7,,,2470,1351,151,152,,,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5,,20/03/15,"1965,O208",ok,17163,RV Argo,A 185-7,,,2470,1351,421,422,,,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
3,,20/03/15,"1965,O37",ok,17338,RV Vema,V 14-100,25/05/58,,3910,2138,20,23,,,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5,,20/03/15,"1965,O37",ok,17338,RV Vema,V 14-100,25/05/58,,3910,2138,40,43,,,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5,,20/03/15,"1965,O37",ok,17338,RV Vema,V 14-100,25/05/58,Buckely's sample depth: 50-51,3910,2138,50,53,,,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5,,20/03/15,"1965,O38",ok,17348,RV Vema,V 12-5,26/12/56,,3000,1640,205,208,Pleistocene G-M,,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
7,,20/03/15,"1965,O38",ok,17348,RV Vema,V 12-5,26/12/56,,3000,1640,545,548,Pleistocene Gunz,,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5,,20/03/15,"1965,O38",ok,17348,RV Vema,V 12-5,26/12/56,,3000,1640,625,628,Pliocene,,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5,,20/03/15,"1965,O39",ok,17359,RV Vema,V 15-164,03/05/59,,3380,1848,125,128,Pleistocene Gunz,,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5,,20/03/15,"1965,O39",ok,17359,RV Vema,V 15-164,03/05/59,,3380,1848,400,403,Pliocene,,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
3,,20/03/15,"1965,O39",ok,17359,RV Vema,V 15-164,03/05/59,Buckely's sample depth: 5-6,3380,1848,5,8,Pleistocene Gunz,,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
6,,20/03/15,"1965,O40",ok,17371,RV Vema,V 16-21,09/11/59,,3795,2075,205,208,,,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5,,20/03/15,"1965,O40",ok - one more,17371,RV Vema,V 16-21,09/11/59,,3795,2075,405,408,Pliocene,,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
6,,20/03/15,"1965,O40",ok,17371,RV Vema,V 16-21,09/11/59,Buckely's sample depth: 55-58?,3795,2075,555,558,Pleistocene Gunz,,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
0,Washings,20/03/15,M.3787,ok,34671,HMS Egeria ,16,31/10/1887,,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
2,,20/03/15,M.3787,ok,34671,HMS Egeria ,16,31/10/1887,,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
0,Washings,20/03/15,M.5246,ok,36053,HMS Penguin,9,16/04/1891,OBD 111 10 9 E,3676,2010,,,,+250 mu,26,56,12,S,111,10,54,E,-26.93667,111.18167,Indian ocean near coast
0,Cross with 4 points - Washings,20/03/15,M.5246,ok,36053,HMS Penguin,9,16/04/1891,OBD 111 10 9 E,3676,2010,,,,+250 mu,26,56,12,S,111,10,54,E,-26.93667,111.18167,Indian ocean near coast
3,,20/03/15,M.5246,ok,36053,HMS Penguin,9,16/04/1891,OBD 111 10 9 E,3676,2010,,,,+250 mu,26,56,12,S,111,10,54,E,-26.93667,111.18167,Indian ocean near coast
10,Cross with 4 points,20/03/15,M.5246,ok,36053,HMS Penguin,9,16/04/1891,OBD 111 10 9 E,3676,2010,,,,+250 mu,26,56,12,S,111,10,54,E,-26.93667,111.18167,Indian ocean near coast
0,,20/03/15,M.7469,ok,37130,HMS Sealark,52,29/07/05,,4082,2232,,,,+250 mu,8,25,0,S,65,38,0,E,-8.41667,65.63333,Indian ocean
0,,20/03/15,M.7469,ok,37130,HMS Sealark,52,29/07/05,,4082,2232,,,,+250 mu,8,25,0,S,65,38,0,E,-8.41667,65.63333,Indian ocean
0,Washings,20/03/15,M.7469,ok,37130,HMS Sealark,52,29/07/05,,4082,2232,,,,+250 mu,8,25,0,S,65,38,0,E,-8.41667,65.63333,Indian ocean
0,Washings? I could not open the tube to see paper inside,20/03/15,M.7487,ok,37148,HMS Sealark,181,09/11/05,,3758,2055,,,,+250 mu,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
10,,20/03/15,M.7487,ok,37148,HMS Sealark,181,09/11/05,,3758,2055,,,,+250 mu,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
10,,20/03/15,M.7488,ok,37149,HMS Sealark,186,12/11/05,"Slide: 02/11/1905, Lat 2 41 1 S",3475,1900,,,,,2,42,6,S,67,23,0,E,-2.70167,67.38333,Indian ocean
0,Washings less than 64mu,20/03/15,M.7525.A,ok,37190,HMS Sealark,54,31/07/05,,3919,2143,,,,,12,7,0,S,64,7,30,E,-12.11667,64.125,Indian ocean
5,,20/03/15,M.7525.A,ok,37190,HMS Sealark,54,31/07/05,,3919,2143,,,,,12,7,0,S,64,7,30,E,-12.11667,64.125,Indian ocean
2.3,,05/08/15,"1968,O238",ok,18479,RV Argo Dodo,57 P,19/06/64,Not in Buckley collection ,3653,1997,3,6,,,15,40,0,S,112,44,0,E,-15.66667,112.73333,Indian ocean
