IRN,ZF/PF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,Observations Marina,Buckley Slide/SL,Museum no.,Vessel,Station no.,Collection date,Residue OBD IRN,Collection info,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),tow,Sample depth MIN (cm),Sample depth MAX (cm),Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5271451,5750,,Globorotalia,,menardii,,,,,8,DWBG = Downwind-Baird Gravity Core,93,,RV Spencer F. Baird,DWBG 137,15/02/58,16654,,-2712,2770,1515,,,5,9,9,53,0,S,110,41,0,W,-9.88333,-110.68333,Pacific ocean
5271452,5751,,Globorotalia,,menardii,,,,,4,,109,M.408,HMS Challenger,338,21/03/1876,34991,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5271453,5752,,Globorotalia,,menardii,,,,,29,,121,M.408,HMS Challenger,338,21/03/1876,34991,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5271454,5753,,Globorotalia,,menardii,,,,,7,,147,"1,963,916",RV Horizon,Cap HG 37,31/01/53,16640,,-3456,3850,2105,,,4,8,13,5,30,S,124,16,48,W,-13.09167,-124.28,Pacific ocean
5271455,5754,,Globorotalia,,menardii - tumida,,,,,12,,170,,RV Horizon,Cap HG 38,01/02/53,16641,,-3617,3590,1963,,,4,8,14,16,24,S,120,40,48,W,-14.27333,-120.68,Pacific ocean
5271456,5755,,Globorotalia,,menardii,,,,,14,,174,,RV Spencer F. Baird,DWBG 11,31/10/57,16645,,-3415,4155,2272,,,7,10,5,26,0,N,131,19,0,W,5.43333,-131.31667,Pacific ocean
5271458,5756,,Globorotalia,,menardii - tumida,,See Parker 1962,,,10,,241,"1,963,925",RV Spencer F. Baird,DWBG 114,23/01/58,16650,,-3157,3090,1690,,,8,12,18,20,0,S,79,20,30,W,-18.33333,-79.34167,Pacific ocean
5271459,5757,,Globorotalia,,menardii,menardii,,,,6,,280,,RV Spencer F. Baird,DWBG 130,11/02/58,16653,Gravity corer,-3034,3120,1706,,,12,15,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5271460,5758,,Globorotalia,,menardii,,,,,10,,298,,RV Spencer F. Baird,DWBG 130,11/02/58,16653,Gravity corer,-3034,3120,1706,,,12,15,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5271461,5759,,Globorotalia,,menardii,,,,,16,,307,,RV Argo,MSN 53 G,05/12/60,16657,,-2810,3658,2000,,,4,9,16,25,0,S,66,2,0,E,-16.41667,66.03333,Indian ocean
5271463,5760,,Globorotalia,,menardii,,,,+250 mu,5,,347,96626 (A52),HEMS Mabahiss,167,25/04/34,30724,,-4346,4042,2210,,,4,5.5,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5271464,5761,,Globorotalia,,menardii - tumida,,,,,9,,337,"1,963,930",RV Horizon,DWHG 79,07/02/58,16656,,-3362,,,,,7,11,23,36,30,S,118,13,30,W,-23.60833,-118.225,Pacific ocean
5271465,5762,,Globorotalia,,menardii,,,,,13,,378,M.3787,HMS Egeria,,31/10/1887,34671,,-2708,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
5271466,5763,,Globorotalia,,menardii,,,,,15,,403,M.7525.A,HMS Sealark,,31/07/05,37190,,-3322,3919,2143,,,,,12,7,0,S,64,7,30,E,-12.11667,64.125,Indian ocean
5271467,5764,,Globorotalia,,menardii,,,,,20,,427,M.4292,HMS Egeria,,01/04/1894,35238,,-2658,2749,1503,,,,,7,5,0,N,73,48,15,E,7.08333,73.80417,Indian ocean near coast
