Weblink_to_slide_at_NHMUK_Data_Portal,IRN,ZF_PF_no.,Slide_square_no.,Genus,cf.,Species,Sub_species,Notes_on_slides,Geologic_time,Grade,No_of_individuals,Observations_M.C.Rillo.2015,Buckley_Slide_SL_no.,Former_Museum_no.,IRN_Residue_OBD,Vessel,Station_no.,Collection_date,Collection_info,Sea_Depth_meters_NOAA,Sea_Depth_meters,Sea_Depth_fathoms,Sea_Depth_feet,Tow,Sample_depth_min_cm,Sample_depth_max_cm,Lat.decimal,Long.decimal,Lat.degrees,Lat.minutes,Lat.seconds,Lat.N.S,Long.degrees,Long.minutes,Long.seconds,Long.W.E,Ocean_Sea
http://data.nhm.ac.uk/object/c259743f-58e6-4987-9a74-dc4f670faab3,5271451,5750,,Globorotalia,,menardii,,,,,8,DWBG = Downwind-Baird Gravity Core,93,,16654,RV Spencer F. Baird,DWBG 137,15/02/58,,-2712,2770,1515,9090,0,5,9,-9.88333,-110.68333,9,53,0,S,110,41,0,W,Pacific ocean
http://data.nhm.ac.uk/object/cde74a10-6109-4199-8808-c8f9c40b0563,5271452,5751,,Globorotalia,,menardii,,,,,4,,109,M.408,34991,HMS Challenger,338,21/03/1876,,-3740,3639,1990,11940,0,,,-21.25,-14.03333,21,15,0,S,14,2,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/dd2128ab-104c-40f2-86dc-bc659a6f90d3,5271453,5752,,Globorotalia,,menardii,,,,,29,,121,M.408,34991,HMS Challenger,338,21/03/1876,,-3740,3639,1990,11940,0,,,-21.25,-14.03333,21,15,0,S,14,2,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/c5a1df2f-3ef7-486c-9942-8fcab405899d,5271454,5753,,Globorotalia,,menardii,,,,,7,,147,"1,963,916",16640,RV Horizon,Cap HG 37,31/01/53,,-3456,3850,2105,12630,0,4,8,-13.09167,-124.28,13,5,30,S,124,16,48,W,Pacific ocean
http://data.nhm.ac.uk/object/76879e28-a63c-47fd-8736-9ee34f6edc49,5271455,5754,,Globorotalia,,menardii - tumida,,,,,12,,170,,16641,RV Horizon,Cap HG 38,01/02/53,,-3617,3590,1963,11778,0,4,8,-14.27333,-120.68,14,16,24,S,120,40,48,W,Pacific ocean
http://data.nhm.ac.uk/object/78c77450-58eb-4adf-87e3-cf21db462d7d,5271456,5755,,Globorotalia,,menardii,,,,,14,,174,,16645,RV Spencer F. Baird,DWBG 11,31/10/57,,-3415,4155,2272,13632,0,7,10,5.43333,-131.31667,5,26,0,N,131,19,0,W,Pacific ocean
http://data.nhm.ac.uk/object/e0b46f70-e931-4527-a304-85e91010bb76,5271458,5756,,Globorotalia,,menardii - tumida,,See Parker 1962,,,10,,241,"1,963,925",16650,RV Spencer F. Baird,DWBG 114,23/01/58,,-3157,3090,1690,10140,0,8,12,-18.33333,-79.34167,18,20,0,S,79,20,30,W,Pacific ocean
http://data.nhm.ac.uk/object/6125100e-c271-4481-afe0-a4362558d29e,5271459,5757,,Globorotalia,,menardii,menardii,,,,6,,280,,16653,RV Spencer F. Baird,DWBG 130,11/02/58,Gravity corer,-3034,3120,1706,10236,0,12,15,-14.73333,-112.1,14,44,0,S,112,6,0,W,Pacific ocean
http://data.nhm.ac.uk/object/2f3aa853-0a17-4454-bb62-ebe63f850a33,5271460,5758,,Globorotalia,,menardii,,,,,10,,298,,16653,RV Spencer F. Baird,DWBG 130,11/02/58,Gravity corer,-3034,3120,1706,10236,0,12,15,-14.73333,-112.1,14,44,0,S,112,6,0,W,Pacific ocean
http://data.nhm.ac.uk/object/eeb50b43-fdad-4753-b5bc-0a4cb3a53225,5271461,5759,,Globorotalia,,menardii,,,,,16,,307,,16657,RV Argo,MSN 53 G,05/12/60,,-2810,3658,2000,12000,0,4,9,-16.41667,66.03333,16,25,0,S,66,2,0,E,Indian ocean
http://data.nhm.ac.uk/object/facd8884-900d-41f5-8d65-d4e3a85d4559,5271463,5760,,Globorotalia,,menardii,,,,+250 mu,5,,347,96626 (A52),30724,HEMS Mabahiss,167,25/04/34,,-4346,4042,2210,13260,0,4,5.5,7.19333,63.0425,7,11,36,N,63,2,33,E,Indian ocean
http://data.nhm.ac.uk/object/99bf5985-6885-4ca5-8c8f-a95d8e3532b6,5271464,5761,,Globorotalia,,menardii - tumida,,,,,9,,337,"1,963,930",16656,RV Horizon,DWHG 79,07/02/58,,-3362,NA,NA,NA,0,7,11,-23.60833,-118.225,23,36,30,S,118,13,30,W,Pacific ocean
http://data.nhm.ac.uk/object/f8ffce5e-8139-4d2b-98dc-f61e3d4dcdb7,5271465,5762,,Globorotalia,,menardii,,,,,13,,378,M.3787,34671,HMS Egeria,,31/10/1887,,-2708,2869,1569,9414,0,,,-19.56667,64.63333,19,34,0,S,64,38,0,E,Indian ocean
http://data.nhm.ac.uk/object/a00f9643-ef15-494d-ad16-30662603835c,5271466,5763,,Globorotalia,,menardii,,,,,15,,403,M.7525.A,37190,HMS Sealark,,31/07/05,,-3322,3919,2143,12858,0,,,-12.11667,64.125,12,7,0,S,64,7,30,E,Indian ocean
http://data.nhm.ac.uk/object/6a2a8321-7987-40bb-9804-bae092d99c80,5271467,5764,,Globorotalia,,menardii,,,,,20,,427,M.4292,35238,HMS Egeria,,01/04/1894,,-2658,2749,1503,9018,0,,,7.08333,73.80417,7,5,0,N,73,48,15,E,Indian ocean near coast
